COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
North Macedonia,MKD,EURO,REPORTING,2021-05-30,270135,192959,13,9.262,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,Wuhan CNBG - Inactivated",2021-02-17,5
Northern Mariana Islands (Commonwealth of the),MNP,WPRO,REPORTING,2021-06-07,50142,26788,87.117,46.542,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-19,3
Norway,NOR,EURO,REPORTING,2021-05-30,2475700,1594096,46.1,29.699,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-03-31,4
occupied Palestinian territory,PSE,EMRO,REPORTING,2021-06-07,549549,328516,10.772,6.44,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-02-02,5
Oman,OMN,EMRO,REPORTING,2021-05-17,296894,216549,5.814,4.241,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty,SII - Covishield",2020-12-29,3
Pakistan,PAK,EMRO,REPORTING,2021-06-07,8850889,6753878,4.007,3.058,"Beijing CNBG - Inactivated,CanSino - Ad5-nCOV,Gamaleya - Sputnik V,SII - Covishield,Sinovac - CoronaVac",2021-02-03,5
Palau,PLW,WPRO,REPORTING,2021-05-28,23545,13061,130.14,72.192,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273",2021-01-03,2
Panama,PAN,AMRO,REPORTING,2021-06-04,1055623,668382,24.465,15.491,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty",2021-01-20,2
Papua New Guinea,PNG,WPRO,REPORTING,2021-06-07,38176,38176,0.427,0.427,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,SII - Covishield",2021-03-30,3
Paraguay,PRY,AMRO,REPORTING,2021-06-04,448421,360807,6.287,5.059,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Bharat - Covaxin,Gamaleya - Sputnik V,Sinovac - CoronaVac",2021-02-22,5
Peru,PER,AMRO,REPORTING,2021-06-04,4207543,2928502,12.761,8.882,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Pfizer BioNTech - Comirnaty,Wuhan CNBG - Inactivated",2021-02-09,4
Philippines,PHL,WPRO,REPORTING,2021-06-05,5678991,4260369,5.182,3.888,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Bharat - Covaxin,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Novavax - Covavax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-03-01,9
Poland,POL,EURO,REPORTING,2021-05-30,20527303,13648032,54.1,35.955,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
Portugal,PRT,EURO,REPORTING,2021-05-30,5840940,3861351,56.7,37.505,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
Puerto Rico,PRI,AMRO,REPORTING,2021-06-04,2740424,1618821,95.79,56.585,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,3
Qatar,QAT,EMRO,REPORTING,2021-06-08,2700942,1554740,93.748,53.964,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,3
Republic of Korea,KOR,WPRO,REPORTING,2021-06-07,10755652,,20.979,,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2021-02-26,5
Republic of Moldova,MDA,EURO,REPORTING,2021-05-30,412616,338167,10.2,8.383,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-03-03,6
Romania,ROU,EURO,REPORTING,2021-05-23,7933094,4302904,41,22.262,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-05-19,4
Russian Federation,RUS,EURO,OWID,2021-06-07,28449552,16528341,19.5,11.326,"SRCVB - EpiVacCorona, Gamaleya - Sputnik V",,2
Rwanda,RWA,AFRO,REPORTING,2021-06-08,400096,350400,3.089,2.705,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-14,3
Saba,XCA,AMRO,REPORTING,2021-06-04,1300,,67.253,,,,
Saint Helena,SHN,AFRO,OWID,2021-05-05,7892,4361,129.995,71.833,AstraZeneca - AZD1222,,1
Saint Kitts and Nevis,KNA,AMRO,REPORTING,2021-06-04,28980,20824,54.482,39.149,"AstraZeneca - AZD1222,SII - Covishield",2021-02-22,2
Saint Lucia,LCA,AMRO,REPORTING,2021-06-04,47124,28262,25.663,15.391,"AstraZeneca - AZD1222,SII - Covishield",2021-02-17,2
Saint Vincent and the Grenadines,VCT,AMRO,REPORTING,2021-06-04,21331,13826,19.228,12.463,"AstraZeneca - AZD1222,Gamaleya - Sputnik V,SII - Covishield",2021-02-01,3
Samoa,WSM,WPRO,REPORTING,2021-05-05,37572,7411,18.936,3.735,AstraZeneca - AZD1222,2021-04-18,1
San Marino,SMR,EURO,REPORTING,2021-05-30,41983,22002,123.7,64.83,"Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",2021-02-24,2
Sao Tome and Principe,STP,AFRO,REPORTING,2021-06-08,23027,12374,10.507,5.646,"AstraZeneca - AZD1222,SII - Covishield",2021-03-15,2
Saudi Arabia,SAU,EMRO,REPORTING,2021-06-07,14843196,,42.636,,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-01-06,4
Senegal,SEN,AFRO,REPORTING,2021-06-08,537467,466578,3.21,2.787,"Beijing CNBG - Inactivated,SII - Covishield",2021-02-23,2
Serbia,SRB,EURO,REPORTING,2021-05-30,4545447,2511258,65.6,36.255,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",2020-12-23,4
Seychelles,SYC,AFRO,REPORTING,2021-06-08,137196,70653,139.502,71.841,"Beijing CNBG - Inactivated,SII - Covishield",2021-01-10,2
Sierra Leone,SLE,AFRO,REPORTING,2021-06-08,83474,71821,1.046,0.9,"Beijing CNBG - Inactivated,SII - Covishield",2021-03-15,2
Singapore,SGP,WPRO,REPORTING,2021-05-31,4047651,2281154,69.187,38.992,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,3
Sint Eustatius,XBA,AMRO,REPORTING,2021-06-04,1173,151,37.369,4.81,,,
Sint Maarten,SXM,AMRO,REPORTING,2021-06-04,32025,18558,74.682,43.277,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-02-22,3
Slovakia,SVK,EURO,REPORTING,2021-05-30,2556598,1724450,46.8,31.596,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-01-06,3
Slovenia,SVN,EURO,REPORTING,2021-05-30,1070166,665473,51.1,31.752,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
Solomon Islands,SLB,WPRO,REPORTING,2021-06-04,17065,16823,2.484,2.449,"Beijing CNBG - Inactivated,SII - Covishield",2021-03-23,2
Somalia,SOM,EMRO,REPORTING,2021-06-08,142018,129419,0.894,0.814,"Beijing CNBG - Inactivated,SII - Covishield,Sinovac - CoronaVac",2021-03-16,3
South Africa,ZAF,AFRO,REPORTING,2021-06-08,182983,182983,0.309,0.309,Janssen - Ad26.COV 2.5,2021-02-17,1
South Sudan,SSD,AFRO,REPORTING,2021-06-08,11889,11889,0.106,0.106,SII - Covishield,2021-04-06,1
Spain,ESP,EURO,REPORTING,2021-05-30,27270612,18047923,57.6,38.13,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,4
Sri Lanka,LKA,SEARO,REPORTING,2021-06-01,2117653,1766636,9.889,8.25,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,SII - Covishield",2021-01-29,3
Sudan,SDN,EMRO,REPORTING,2021-06-07,465197,404397,1.061,0.922,"Beijing CNBG - Inactivated,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-09,4
Suriname,SUR,AMRO,REPORTING,2021-06-04,90052,71396,15.351,12.17,"AstraZeneca - AZD1222,SII - Covishield",2021-02-23,2
Sweden,SWE,EURO,REPORTING,2021-05-30,5218243,3732254,50.5,36.139,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,3
Switzerland,CHE,EURO,OWID,2021-06-02,4817789,3068308,55.7,35.453,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2
Syrian Arab Republic,SYR,EMRO,REPORTING,2021-06-06,71519,71519,0.409,0.409,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,SII - Covishield",2021-04-01,3
Tajikistan,TJK,EURO,REPORTING,2021-05-30,91775,79376,1,0.832,"AstraZeneca - AZD1222,SII - Covishield",2021-03-24,2
Thailand,THA,SEARO,REPORTING,2021-05-30,3609882,2498929,5.172,3.58,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,SII - Covishield,Sinovac - CoronaVac",2021-02-28,4
The United Kingdom,GBR,EURO,OWID,2021-06-06,64923228,39384055,95.6,58.015,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-21,3
Timor-Leste,TLS,SEARO,REPORTING,2021-06-01,81806,81800,6.205,6.204,"AstraZeneca - AZD1222,SII - Covishield",2021-04-07,2
Togo,TGO,AFRO,REPORTING,2021-06-08,318666,270784,3.849,3.271,SII - Covishield,2021-03-10,1
Tonga,TON,WPRO,REPORTING,2021-06-04,28667,28667,27.122,27.122,AstraZeneca - AZD1222,2021-04-14,1
Trinidad and Tobago,TTO,AMRO,REPORTING,2021-06-04,107766,106587,7.7,7.616,"AstraZeneca - AZD1222,SII - Covishield",2021-02-17,2
Tunisia,TUN,EMRO,REPORTING,2021-06-06,1159924,814813,9.814,6.894,"AstraZeneca - AZD1222,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-03-13,4
